sep=,
skkni_unit_code,skkni_unit_title_en,job_role,course_code,course_name,concentration_track,semester,match_strength,match_score,match_rationale
K.62AIN00.006.2,Designing Knowledge for Artificial Intelligence Solutions,AI Knowledge Engineer,ISC401,Artificial Intelligence for Information System,,4,Supporting,50,"Data/knowledge preparation is part of this course's AI/ML modeling workflow, though it does not teach formal knowledge-representation design specifically."
K.62AIN00.006.2,Designing Knowledge for Artificial Intelligence Solutions,AI Knowledge Engineer,,,,,GAP,0,"No IS course teaches knowledge-schema/representation design (ontology or knowledge-graph structuring) -- the curriculum has no dedicated knowledge-engineering course; flagged as a real coverage gap, not a scoring artifact."
K.62AIN00.007.2,Acquiring Knowledge for Artificial Intelligence Solutions,AI Knowledge Engineer,DSB501,Fundamental of Data Science for Business Analytics,Data Science for Business Analytics,5,Supporting,50,Defining data requirements as part of a data-science workflow is the closest analogue to designing a knowledge-acquisition process.
K.62AIN00.007.2,Acquiring Knowledge for Artificial Intelligence Solutions,AI Knowledge Engineer,ISC401,Artificial Intelligence for Information System,,4,Supporting,50,"Data preparation for AI/ML use cases covers gathering source data, though not framed as 'knowledge acquisition' specifically."
K.62AIN00.008.2,Representing Knowledge for Artificial Intelligence Solutions,AI Knowledge Engineer,ISC401,Artificial Intelligence for Information System,,4,Supporting,50,"Feature/data representation for an AI/ML model is the nearest available analogue, though tooling-level knowledge representation (e.g. knowledge graphs) is not taught."
K.62AIN00.008.2,Representing Knowledge for Artificial Intelligence Solutions,AI Knowledge Engineer,,,,,GAP,0,No IS course covers knowledge-representation tooling or domain-knowledge construction -- a real curriculum gap.
K.62AIN00.009.2,Validating Knowledge for Artificial Intelligence Solutions,AI Knowledge Engineer,DSB503,Machine Learning for Business Analytics,Data Science for Business Analytics,5,Supporting,50,"Model validation and interpretation is analogous to validating AI knowledge for correctness, though this course trains statistical ML models rather than validating an explicit knowledge base/domain-rule structure as the unit describes."
K.62AIN00.009.2,Validating Knowledge for Artificial Intelligence Solutions,AI Knowledge Engineer,ISC401,Artificial Intelligence for Information System,,4,Primary,100,"Evaluating basic AI/ML models is this course's explicit, stated outcome, and it is the IS curriculum's central AI course -- the closest available match to verifying/validating an AI model's underlying knowledge, even though the course frames this around statistical models rather than an explicit knowledge base."
K.62AIN00.010.2,Determining Data Labeling Procedures,AI Data Engineer,DSB501,Fundamental of Data Science for Business Analytics,Data Science for Business Analytics,5,Supporting,50,"Defining data requirements as part of a data-science workflow is the closest available analogue, though it does not teach labeling/annotation procedure design specifically."
K.62AIN00.010.2,Determining Data Labeling Procedures,AI Data Engineer,,,,,GAP,0,No IS course teaches data-labeling/annotation procedure design -- a real curriculum gap the lecturer should be aware of for this unit.
K.62AIN00.011.2,Analyzing Data for Artificial Intelligence Solutions,AI Data Engineer,DSB502,Data Science Programming,Data Science for Business Analytics,5,Primary,100,"End-to-end data wrangling, cleaning, and exploratory analysis is the direct curriculum equivalent of 'preparing data and reviewing type/relations/quality.'"
K.62AIN00.011.2,Analyzing Data for Artificial Intelligence Solutions,AI Data Engineer,FAC402,Probability and Statistics,,4,Supporting,50,Descriptive statistics and inference are used to interpret data quality and relations.
K.62AIN00.011.2,Analyzing Data for Artificial Intelligence Solutions,AI Data Engineer,DSB501,Fundamental of Data Science for Business Analytics,Data Science for Business Analytics,5,Supporting,50,Data-requirement definition as part of a data-science workflow.
K.62AIN00.011.2,Analyzing Data for Artificial Intelligence Solutions,AI Data Engineer,FAC203,Database System,,2,Supporting,50,"Query formulation and data-integrity checks are the general data-management skillset underlying reviewing data type/relations/quality, though not framed as AI-specific data analysis."
K.62AIN00.012.2,Filtering Data for Artificial Intelligence Solutions,AI Data Engineer,DSB502,Data Science Programming,Data Science for Business Analytics,5,Primary,100,Data wrangling/cleaning covers filtering and selecting relevant records/features -- the same as 'input feature selection and record filtering.'
K.62AIN00.012.2,Filtering Data for Artificial Intelligence Solutions,AI Data Engineer,DSB504,Data Mining for Business Insight,Data Science for Business Analytics,5,Supporting,50,Assessing feature/record relevance is part of preparing data for clustering/classification techniques.
K.62AIN00.013.2,Reconstructing Data,AI Data Engineer,DSB502,Data Science Programming,Data Science for Business Analytics,5,Primary,100,Data wrangling and reproducible pipelines is the closest curriculum equivalent to feature engineering and transformation.
K.62AIN00.013.2,Reconstructing Data,AI Data Engineer,DSB504,Data Mining for Business Insight,Data Science for Business Analytics,5,Supporting,50,"This is the concrete example the mapping was requested around: data-mining techniques (clustering, association rules) require and reinforce the same feature-engineering skills used to reconstruct data for an AI solution, even though the course sits in the Business Analytics track rather than an AI-labeled one -- exactly the kind of cross-track connection embedding similarity was missing."
K.62AIN00.014.1,Determining the Development Strategy for Generative-Model-Based Artificial Intelligence Solutions,Generative AI Engineer,FAC201,Gen-AI & Economic Survival / Internship Experience for Computer Science,,2,Supporting,50,"Integrates generative AI tools into a validated business/MVP proposal -- the closest available curriculum content to 'determining an approach for a generative-model-based solution,' though framed around business validation rather than technical model-strategy selection."
K.62AIN00.014.1,Determining the Development Strategy for Generative-Model-Based Artificial Intelligence Solutions,Generative AI Engineer,AEA503,AI Agents and Workflow Automation,AI-Powered Enterprise Automation,5,Supporting,50,AI-agent-assisted workflow design requires the same upfront strategy decisions for applying a generative model.
K.62AIN00.014.1,Determining the Development Strategy for Generative-Model-Based Artificial Intelligence Solutions,Generative AI Engineer,AEA501,Fundamental of AI-Powered Enterprise Automation,AI-Powered Enterprise Automation,5,Supporting,50,"Assessing automation opportunities and designing an initial AI-powered automation approach is a general version of determining a development strategy for an AI solution, though automation-focused rather than generative-model-focused specifically."
K.62AIN00.014.1,Determining the Development Strategy for Generative-Model-Based Artificial Intelligence Solutions,Generative AI Engineer,,,,,GAP,0,"No course teaches formal generative-AI development-strategy selection (e.g. choosing between prompt-engineering-only, fine-tuning, or retrieval-augmented approaches) -- FAC201 and AEA501 only offer adjacent business/automation-strategy skills, not this specific technical decision."
K.62AIN00.015.1,Developing Prompts for Generative Models,Generative AI Engineer,AEA503,AI Agents and Workflow Automation,AI-Powered Enterprise Automation,5,Primary,100,Prompt/workflow design for AI agents is the only course that directly teaches prompt construction and validation.
K.62AIN00.015.1,Developing Prompts for Generative Models,Generative AI Engineer,FAC201,Gen-AI & Economic Survival / Internship Experience for Computer Science,,2,Supporting,50,Practical generative-AI tool use as part of MVP building.
K.62AIN00.016.1,Adapting Generative Models,Generative AI Engineer,DSB503,Machine Learning for Business Analytics,Data Science for Business Analytics,5,Supporting,50,"Covers the general model-training workflow (feature engineering, training, validation), though for traditional ML rather than generative-model fine-tuning/adaptation specifically."
K.62AIN00.016.1,Adapting Generative Models,Generative AI Engineer,,,,,GAP,0,No course teaches generative-model adaptation/fine-tuning techniques -- a real curriculum gap.
K.62AIN00.017.1,Injecting Knowledge into Generative Models,Generative AI Engineer,AEA505,Intelligent Document Processing and Process Mining,AI-Powered Enterprise Automation,5,Supporting,50,Document AI/OCR and information extraction is the closest curriculum content to building a corpus/pipeline for injecting external knowledge into a generative model (RAG-style).
K.62AIN00.017.1,Injecting Knowledge into Generative Models,Generative AI Engineer,,,,,GAP,0,"No course teaches a full knowledge-injection pipeline (retrieval-augmented generation) end to end -- partial coverage only, via AEA505."
K.62AIN00.018.1,Evaluating Generative Model Output,Generative AI Engineer,ISC401,Artificial Intelligence for Information System,,4,Supporting,50,"General AI/ML model evaluation practice is taught, but not generative-output-specific evaluation (relevance/accuracy/bias detection in generated text)."
K.62AIN00.018.1,Evaluating Generative Model Output,Generative AI Engineer,,,,,GAP,0,No course teaches systematic generative-output evaluation -- a real curriculum gap.
K.62AIN00.019.1,Applying Fairness Principles to Artificial Intelligence Solutions,Responsible AI Specialist,DSB503,Machine Learning for Business Analytics,Data Science for Business Analytics,5,Primary,100,Explicitly covers bias and ethical issues in model building -- the course's own description names the exact concern (bias) this unit addresses.
K.62AIN00.019.1,Applying Fairness Principles to Artificial Intelligence Solutions,Responsible AI Specialist,ISC401,Artificial Intelligence for Information System,,4,Supporting,50,Responsible AI considerations are named explicitly in this course's description.
K.62AIN00.020.1,Applying Explainability Principles to Artificial Intelligence Solutions,Responsible AI Specialist,ISC401,Artificial Intelligence for Information System,,4,Supporting,50,"Responsible AI considerations cover explainability at a survey level, though the course does not teach specific explainability techniques (e.g. SHAP/LIME)."
K.62AIN00.020.1,Applying Explainability Principles to Artificial Intelligence Solutions,Responsible AI Specialist,,,,,GAP,0,No course teaches dedicated explainability/interpretability techniques -- a real curriculum gap.
K.62AIN00.021.1,Applying Reliability Principles to Artificial Intelligence Solutions,Responsible AI Specialist,ISC403,Information System Assurance and Security,,4,Supporting,50,"Risk assessment and control design for IS systems transfers to assessing AI-system reliability risk, though not AI-specific."
K.62AIN00.021.1,Applying Reliability Principles to Artificial Intelligence Solutions,Responsible AI Specialist,ISC401,Artificial Intelligence for Information System,,4,Supporting,50,Responsible AI considerations are named explicitly in this course's description.
K.62AIN00.022.1,Ensuring Data Privacy Protection,Responsible AI Specialist,ISC403,Information System Assurance and Security,,4,Primary,100,"Directly covers security-risk identification, control design, and ethical/legal compliance -- the same skillset as ensuring AI data-privacy protection and regulatory compliance."
K.62AIN00.023.1,Ensuring Accountability of Artificial Intelligence Solutions,Responsible AI Specialist,ISC403,Information System Assurance and Security,,4,Primary,100,"Ethical/legal compliance, control design, and risk assessment map directly onto designing and evaluating accountability mechanisms for a system."
K.62AIN00.023.1,Ensuring Accountability of Artificial Intelligence Solutions,Responsible AI Specialist,ISC401,Artificial Intelligence for Information System,,4,Supporting,50,Responsible AI considerations are named explicitly in this course's description.
K.62AIN00.024.2,Integrating Artificial Intelligence Solution Components,AI Solution Deployment Engineer,AEA504,Low-Code Application and API Integration,AI-Powered Enterprise Automation,5,Primary,100,API integration and workflow connectors is the direct curriculum equivalent of 'combining a solution's technical architecture components.'
K.62AIN00.024.2,Integrating Artificial Intelligence Solution Components,AI Solution Deployment Engineer,ISC402,Information System Agile Project Management with DevOps,,4,Supporting,50,Version control and CI/CD support integrating and internally testing combined components.
K.62AIN00.024.2,Integrating Artificial Intelligence Solution Components,AI Solution Deployment Engineer,AEA502,Business Process Automation with RPA,AI-Powered Enterprise Automation,5,Supporting,50,"Designing, implementing, and testing RPA-based automation covers the same integrate-and-internally-test skillset as combining a solution's components, though RPA bots aren't AI-model components specifically."
K.62AIN00.025.2,Installing Artificial Intelligence Solutions,AI Solution Deployment Engineer,ISC402,Information System Agile Project Management with DevOps,,4,Primary,100,CI/CD and DevOps monitoring practice is the direct curriculum equivalent of preparing a deployment environment and validating post-deployment.
K.62AIN00.025.2,Installing Artificial Intelligence Solutions,AI Solution Deployment Engineer,ISC102,Information System Network & Infrastructure,,1,Supporting,50,Infrastructure configuration and basic security practices support preparing a deployment environment.
K.62AIN00.025.2,Installing Artificial Intelligence Solutions,AI Solution Deployment Engineer,ISC403,Information System Assurance and Security,,4,Supporting,50,Security control design supports applying security safeguards during deployment.
K.62AIN00.026.2,Planning Artificial Intelligence Solution Maintenance,AI Solution Deployment Engineer,ISC402,Information System Agile Project Management with DevOps,,4,Supporting,50,"DevOps monitoring practice is the closest analogue to planning ongoing maintenance, though it is not maintenance-planning-specific."
K.62AIN00.026.2,Planning Artificial Intelligence Solution Maintenance,AI Solution Deployment Engineer,,,,,GAP,0,No course teaches dedicated post-deployment maintenance planning -- a real curriculum gap.
K.62AIN00.027.2,Maintaining Artificial Intelligence Solutions,AI Solution Deployment Engineer,ISC402,Information System Agile Project Management with DevOps,,4,Supporting,50,"DevOps monitoring and collaboration practice supports ongoing system maintenance, though it is not AI-solution-maintenance-specific."
K.62AIN00.027.2,Maintaining Artificial Intelligence Solutions,AI Solution Deployment Engineer,,,,,GAP,0,No course teaches dedicated AI-solution maintenance -- a real curriculum gap.
,,,FAC101,Economic Survival / Internship Experience for Computer Science,,1,NOT_MAPPED,,"Precedes FAC201 in the same course sequence; teaches general business/career-readiness skills without integrating AI tools specifically, so FAC201 (its AI-integrated follow-on course, already mapped to units 001/004/014/015) covers the AI-relevant version of this skill instead."
,,,FAC102,Discrete Mathematic,,1,NOT_MAPPED,,"Foundational mathematics prerequisite (logic, sets, graphs); supports AI work indirectly but isn't itself one of the 27 AI-specific competency units."
,,,FAC103,Programming Concept,,1,NOT_MAPPED,,Foundational programming prerequisite; supports every AI unit indirectly as a basic skill but isn't AI-specific.
,,,FAC104,Web Design,,1,NOT_MAPPED,,Web front-end design skills; outside the AI-solution competency scope of SKKNI 62AIN00.
,,,ISC103,Management and Organization,,1,NOT_MAPPED,,General management/organizational-behavior course; not AI-competency-specific.
,,,FAC202,Web Application Development,,2,NOT_MAPPED,,General web application development; not tied to a specific AI competency unit.
,,,FAC204,Object Oriented and Visual Programming,,2,NOT_MAPPED,,General object-oriented programming; not AI-specific.
,,,ISC202,Business Process Automation,,2,NOT_MAPPED,,"General IS business-process-automation course (not AI-model-based); the dedicated AI-Powered Enterprise Automation track courses (AEA501-505, already mapped) cover the AI-specific automation/integration competencies more directly."
,,,UNV301,Pancasila,,3,NOT_MAPPED,,University-compulsory general-education course; unrelated to any technical AI competency.
,,,UNV302,Religion,,3,NOT_MAPPED,,University-compulsory general-education course; unrelated to any technical AI competency.
,,,UNV303,Citizenship,,3,NOT_MAPPED,,University-compulsory general-education course; unrelated to any technical AI competency.
,,,UNV304,Bahasa Indonesia,,3,NOT_MAPPED,,University-compulsory general-education course; unrelated to any technical AI competency.
,,,FAC401,Mobile Application Development,,4,NOT_MAPPED,,Mobile app development skills; outside the AI-solution competency scope of SKKNI 62AIN00.
,,,ISC404,User Interface / User Experience Design,,4,NOT_MAPPED,,User research/interface design skills; outside the AI-solution technical competency scope of SKKNI 62AIN00.
,,,ISEL401,General Elective,,4,NOT_MAPPED,,"Student-selected elective (e.g. GIS, Accounting IS, Government IS); actual content varies by student choice, so it can't be pre-mapped to a specific SKKNI unit."
,,,DSB505,Data Visualization and Business Reporting,Data Science for Business Analytics,5,NOT_MAPPED,,"Dashboard/storytelling skills support communicating AI or data-science results to stakeholders, but this course is not itself one of the 27 AI-specific competency units."
,,,ISC601,Business Intelligence and Analytics,,6,NOT_MAPPED,,BI/dashboarding for business decisions; adjacent to AI data work but not one of the 27 AI-specific competency units.
,,,DSB601,Data Science for Business Analytics Project,Data Science for Business Analytics,6,NOT_MAPPED,,Capstone project applying the Data Science for Business Analytics track's individually-mapped courses (DSB501-505); the project itself isn't tied to one specific competency unit.
,,,IES501,Fundamental of Intelligent Enterprise Systems,Intelligent Enterprise Systems,5,NOT_MAPPED,,"Intelligent Enterprise Systems concentration track (ERP-focused); addresses enterprise-system operation, not AI-model development, so it falls outside SKKNI 62AIN00's 27 AI-specific competency units."
,,,IES502,Supply Chain Management System,Intelligent Enterprise Systems,5,NOT_MAPPED,,"Intelligent Enterprise Systems concentration track (ERP-focused); addresses enterprise-system operation, not AI-model development, so it falls outside SKKNI 62AIN00's 27 AI-specific competency units."
,,,IES503,Sales Management System,Intelligent Enterprise Systems,5,NOT_MAPPED,,"Intelligent Enterprise Systems concentration track (ERP-focused); addresses enterprise-system operation, not AI-model development, so it falls outside SKKNI 62AIN00's 27 AI-specific competency units."
,,,IES504,Manufacturing Resource Planning,Intelligent Enterprise Systems,5,NOT_MAPPED,,"Intelligent Enterprise Systems concentration track (ERP-focused); addresses enterprise-system operation, not AI-model development, so it falls outside SKKNI 62AIN00's 27 AI-specific competency units."
,,,IES505,Finance Management System and Reporting,Intelligent Enterprise Systems,5,NOT_MAPPED,,"Intelligent Enterprise Systems concentration track (ERP-focused); addresses enterprise-system operation, not AI-model development, so it falls outside SKKNI 62AIN00's 27 AI-specific competency units."
,,,IES601,Intelligent Enterprise Systems Project,Intelligent Enterprise Systems,6,NOT_MAPPED,,Capstone project applying the Intelligent Enterprise Systems track's courses; the track as a whole falls outside SKKNI 62AIN00's AI-specific competency scope.
,,,AEA601,AI-Powered Enterprise Automation Project,AI-Powered Enterprise Automation,6,NOT_MAPPED,,Capstone project applying the AI-Powered Enterprise Automation track's individually-mapped courses (AEA501-505); the project itself isn't tied to one specific competency unit.
,,,WIL701,Career Stream in Information System,,7,NOT_MAPPED,,"University-compulsory work-integrated-learning course; content depends on the student's chosen internship/project, so it can't be pre-mapped to a specific SKKNI unit in advance -- if a student's actual placement involves AI-solution work, that should be logged as a student Activity instead."
,,,WIL801,Career Stream in Information System,,8,NOT_MAPPED,,"University-compulsory work-integrated-learning course; content depends on the student's chosen internship/project, so it can't be pre-mapped to a specific SKKNI unit in advance -- if a student's actual placement involves AI-solution work, that should be logged as a student Activity instead."
,,,CAP801,Pre Capstone Project,,8,NOT_MAPPED,,"Capstone scoping course; content depends on the student's chosen problem, so it can't be pre-mapped to a specific SKKNI unit in advance."
,,,CAP901,Capstone Project,,9,NOT_MAPPED,,"Capstone implementation course; content depends on the student's chosen problem, so it can't be pre-mapped to a specific SKKNI unit in advance -- if a student's actual capstone is an AI solution, that should be logged as a student Activity instead."
